id,dataset,ts,time,order_type,order_side,price,qty
118,Ag(T+D)@sg,1522413220000,2018-03-30 20:33:40.000000,LIMIT,BID,3593.0,10
119,Ag(T+D)@sg,1522413230000,2018-03-30 20:33:50.000000,LIMIT,BID,3593.0,10
120,Ag(T+D)@sg,1522413240000,2018-03-30 20:34:00.000000,LIMIT,BID,3593.0,10
121,Ag(T+D)@sg,1522413250000,2018-03-30 20:34:10.000000,LIMIT,BID,3593.0,10
122,Ag(T+D)@sg,1522413260000,2018-03-30 20:34:20.000000,LIMIT,BID,3593.0,10
123,Ag(T+D)@sg,1522413270000,2018-03-30 20:34:30.000000,LIMIT,BID,3593.0,10
124,Ag(T+D)@sg,1522413280000,2018-03-30 20:34:40.000000,LIMIT,BID,3593.0,10
125,Ag(T+D)@sg,1522413290000,2018-03-30 20:34:50.000000,LIMIT,ASK,3594.0,10
126,Ag(T+D)@sg,1522413300000,2018-03-30 20:35:00.000000,LIMIT,ASK,3594.0,10
127,Ag(T+D)@sg,1522413310000,2018-03-30 20:35:10.000000,LIMIT,ASK,3594.0,10
128,Ag(T+D)@sg,1522413320000,2018-03-30 20:35:20.000000,LIMIT,ASK,3594.0,10
129,Ag(T+D)@sg,1522413330000,2018-03-30 20:35:30.000000,LIMIT,ASK,3594.0,10
130,Ag(T+D)@sg,1522413340000,2018-03-30 20:35:40.000000,LIMIT,ASK,3594.0,10
131,Ag(T+D)@sg,1522413350000,2018-03-30 20:35:50.000000,LIMIT,ASK,3594.0,10
132,Ag(T+D)@sg,1522413360000,2018-03-30 20:36:00.000000,LIMIT,ASK,3594.0,10
133,Ag(T+D)@sg,1522413370000,2018-03-30 20:36:10.000000,LIMIT,ASK,3594.0,10
134,Ag(T+D)@sg,1522413380000,2018-03-30 20:36:20.000000,LIMIT,ASK,3594.0,10
135,Ag(T+D)@sg,1522413390000,2018-03-30 20:36:30.000000,LIMIT,ASK,3594.0,10
136,Ag(T+D)@sg,1522413400000,2018-03-30 20:36:40.000000,LIMIT,ASK,3594.0,10
137,Ag(T+D)@sg,1522413410000,2018-03-30 20:36:50.000000,LIMIT,ASK,3594.0,10
138,Ag(T+D)@sg,1522413420000,2018-03-30 20:37:00.000000,LIMIT,ASK,3594.0,10
139,Ag(T+D)@sg,1522413430000,2018-03-30 20:37:10.000000,LIMIT,ASK,3594.0,10
140,Ag(T+D)@sg,1522414875000,2018-03-30 21:01:15.000000,LIMIT,BID,3592.0,10
141,Ag(T+D)@sg,1522414885000,2018-03-30 21:01:25.000000,LIMIT,BID,3592.0,10
142,Ag(T+D)@sg,1522414895000,2018-03-30 21:01:35.000000,LIMIT,BID,3591.0,10
143,Ag(T+D)@sg,1522414905000,2018-03-30 21:01:45.000000,LIMIT,BID,3591.0,10
144,Ag(T+D)@sg,1522414915000,2018-03-30 21:01:55.000000,LIMIT,BID,3591.0,10
145,Ag(T+D)@sg,1522414925000,2018-03-30 21:02:05.000000,LIMIT,BID,3591.0,10
146,Ag(T+D)@sg,1522414935000,2018-03-30 21:02:15.000000,LIMIT,BID,3591.0,10
147,Ag(T+D)@sg,1522414945000,2018-03-30 21:02:25.000000,LIMIT,BID,3591.0,10
148,Ag(T+D)@sg,1522414955000,2018-03-30 21:02:35.000000,LIMIT,ASK,3592.0,10
149,Ag(T+D)@sg,1522414965000,2018-03-30 21:02:45.000000,LIMIT,ASK,3592.0,10
